City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
658,Teahupoo,PF,78.8,light rain,-17.8333,-149.2667,Vanira Lodge
660,Manaquiri,BR,86.0,scattered clouds,-3.3167,-60.35,
662,Olinda,BR,77.0,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
663,Manaus,BR,86.0,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
664,Bambanglipuro,ID,79.38,moderate rain,-7.95,110.2833,Puri Brata
670,Sawakin,SD,77.95,clear sky,19.1059,37.3321,فندق الدويم
671,Kudahuvadhoo,MV,83.05,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
673,Piranhas,BR,86.07,clear sky,-16.4269,-51.8222,Planalto Hotel
685,Saint-Pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
686,Brandon,US,88.0,broken clouds,27.9378,-82.2859,Brandon Motor Lodge
687,Mecca,SA,80.15,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
689,Tete,MZ,82.4,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
690,Samarai,PG,80.47,overcast clouds,-10.6167,150.6667,Nuli Sapi
