City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Erzin,TR,2021-04-08 00:00:13,36.9559,36.2,64.0,91,72,1.01
183,Kuvshinovo,RU,2021-04-08 00:00:14,57.0295,34.1725,30.29,96,100,9.62
184,San Jose,US,2021-04-07 23:59:05,37.3394,-121.895,64.99,51,40,16.11
185,Yellowknife,CA,2021-04-07 23:55:36,62.456,-114.3525,17.6,86,90,12.66
186,Strezhevoy,RU,2021-04-08 00:00:15,60.7333,77.5889,32.0,93,90,4.47
187,Provideniya,RU,2021-04-08 00:00:15,64.3833,-173.3,3.2,66,0,11.18
188,Jumla,NP,2021-04-08 00:00:16,29.2747,82.1838,41.11,71,19,5.48
189,San Cristobal,VE,2021-04-07 23:58:05,7.7669,-72.225,82.4,74,40,8.05
190,Moerai,PF,2021-04-07 23:58:22,-22.4333,-151.3333,78.28,73,100,15.48
191,Valparaiso,CL,2021-04-07 23:59:47,-33.0393,-71.6273,62.6,82,0,8.05
192,Tadine,NC,2021-04-08 00:00:17,-21.55,167.8833,78.42,73,23,12.8
193,Okha,RU,2021-04-08 00:00:17,53.5739,142.9478,29.61,86,100,18.3
194,Clyde River,CA,2021-04-08 00:00:18,70.4692,-68.5914,8.6,92,90,5.75
195,Samana,DO,2021-04-08 00:00:18,19.2056,-69.3369,75.2,78,75,12.53
196,San Martin,AR,2021-04-08 00:00:19,-33.081,-68.4681,69.8,78,75,8.05
197,Mezen,RU,2021-04-08 00:00:19,65.8522,44.24,35.38,97,100,10.2
198,Astorga,BR,2021-04-08 00:00:20,-23.2325,-51.6656,75.2,64,0,6.91
199,Waynesville,US,2021-04-07 23:57:38,35.4887,-82.9887,73.4,35,40,10.36
200,Sola,VU,2021-04-08 00:00:21,-13.8833,167.55,86.0,79,40,4.09
201,Tilichiki,RU,2021-04-08 00:00:21,60.4667,166.1,8.4,81,14,5.68
202,Sept-Iles,CA,2021-04-08 00:00:21,50.2001,-66.3821,44.6,76,75,2.3
203,Kathu,TH,2021-04-07 23:56:16,7.9178,98.3332,82.99,94,40,1.52
204,Sauda,NO,2021-04-08 00:00:22,59.6506,6.3542,35.01,70,73,1.99
205,Ilinskiy,RU,2021-04-08 00:00:23,55.619,38.1182,41.0,100,90,4.47
206,Ostrovnoy,RU,2021-04-08 00:00:23,68.0531,39.5131,30.11,86,84,11.9
207,Torbay,CA,2021-04-08 00:00:24,47.6666,-52.7314,37.0,100,90,11.5
208,Port Elizabeth,ZA,2021-04-08 00:00:24,-33.918,25.5701,64.4,94,90,9.22
209,Pangnirtung,CA,2021-04-08 00:00:25,66.1451,-65.7125,30.72,94,100,9.42
210,Victoria,HK,2021-04-07 23:58:33,22.2855,114.1577,73.0,77,97,1.01
211,Karratha,AU,2021-04-07 23:57:40,-20.7377,116.8463,83.37,55,5,11.18
212,Richmond,US,2021-04-07 23:57:33,37.5538,-77.4603,78.8,34,40,6.91
213,Tombouctou,ML,2021-04-08 00:00:25,20.0,-3.0,82.22,13,0,9.95
